Regiao,Estado,Municipio,Nome da Rua,Numero Rua,Bairro,Cep,Produto,Valor de Venda,Bandeira
NE,AL,ARAPIRACA,RODOVIA AL220,1901,SANTA ESMERALDA,57312025,GASOLINA,5.68,VIBRA
NE,AL,ARAPIRACA,RODOVIA AL220,1901,SANTA ESMERALDA,57312025,GASOLINA ADITIVADA,5.68,VIBRA
NE,AL,ARAPIRACA,RODOVIA AL220,1901,SANTA ESMERALDA,57312025,DIESEL S10,5.93,VIBRA
NE,AL,ARAPIRACA,RODOVIA AL220,1901,SANTA ESMERALDA,57312025,ETANOL,3.99,VIBRA
NE,AL,ARAPIRACA,RUA SAO FRANCISCO,274,CENTRO,57300080,GASOLINA,5.48,VIBRA
NE,AL,ARAPIRACA,RODOVIA AL110,678,CANAFISTULA,57302802,GNV,4.69,BRANCA
NE,AL,ARAPIRACA,RODOVIA AL110,678,CANAFISTULA,57302802,GASOLINA,5.69,BRANCA
NE,AL,ARAPIRACA,RODOVIA AL110,678,CANAFISTULA,57302802,GASOLINA ADITIVADA,5.89,BRANCA
NE,AL,ARAPIRACA,RODOVIA AL110,678,CANAFISTULA,57302802,DIESEL,5.99,BRANCA
NE,AL,ARAPIRACA,RODOVIA AL110,678,CANAFISTULA,57302802,ETANOL,3.99,BRANCA
NE,AL,ARAPIRACA,AVENIDA EMIDIO DE LIMA,23,JARDIM ESPERANCA,57307350,GASOLINA,5.49,IPIRANGA
NE,AL,ARAPIRACA,AVENIDA EMIDIO DE LIMA,23,JARDIM ESPERANCA,57307350,GASOLINA ADITIVADA,5.69,IPIRANGA
NE,AL,ARAPIRACA,AVENIDA EMIDIO DE LIMA,23,JARDIM ESPERANCA,57307350,DIESEL,5.79,IPIRANGA
NE,AL,ARAPIRACA,AVENIDA EMIDIO DE LIMA,23,JARDIM ESPERANCA,57307350,ETANOL,3.99,IPIRANGA
NE,AL,RIO LARGO,RODOVIA BR 104 AL KM 86,SN,MATA DO ROLO,57100000,GNV,4.69,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 104 AL KM 86,SN,MATA DO ROLO,57100000,GASOLINA,5.49,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 104 AL KM 86,SN,MATA DO ROLO,57100000,GASOLINA ADITIVADA,5.49,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 104 AL KM 86,SN,MATA DO ROLO,57100000,ETANOL,3.99,VIBRA
NE,AL,RIO LARGO,LOTEAMENTO VILA RICA,SN,MATA DO ROLO,57100000,GASOLINA,5.89,IPIRANGA
NE,AL,RIO LARGO,LOTEAMENTO VILA RICA,SN,MATA DO ROLO,57100000,DIESEL S10,6.29,IPIRANGA
NE,AL,RIO LARGO,LOTEAMENTO VILA RICA,SN,MATA DO ROLO,57100000,ETANOL,3.99,IPIRANGA
NE,AL,RIO LARGO,LOTEAMENTO SAO CAETANO,SN,PREFEITO ANTONIO LINS DE SOUZA,57100000,GNV,4.69,VIBRA
NE,AL,RIO LARGO,LOTEAMENTO SAO CAETANO,SN,PREFEITO ANTONIO LINS DE SOUZA,57100000,GASOLINA,5.39,VIBRA
NE,AL,RIO LARGO,LOTEAMENTO SAO CAETANO,SN,PREFEITO ANTONIO LINS DE SOUZA,57100000,GASOLINA ADITIVADA,5.49,VIBRA
NE,AL,RIO LARGO,LOTEAMENTO SAO CAETANO,SN,PREFEITO ANTONIO LINS DE SOUZA,57100000,DIESEL,5.59,VIBRA
NE,AL,RIO LARGO,LOTEAMENTO SAO CAETANO,SN,PREFEITO ANTONIO LINS DE SOUZA,57100000,DIESEL S10,5.69,VIBRA
NE,AL,RIO LARGO,LOTEAMENTO SAO CAETANO,SN,PREFEITO ANTONIO LINS DE SOUZA,57100000,ETANOL,3.59,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 101 NORTE KM 75,SN,ZONA RURAL,57100000,GASOLINA,5.59,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 101 NORTE KM 75,SN,ZONA RURAL,57100000,GASOLINA ADITIVADA,5.74,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 101 NORTE KM 75,SN,ZONA RURAL,57100000,DIESEL,6.12,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 101 NORTE KM 75,SN,ZONA RURAL,57100000,DIESEL S10,6.12,VIBRA
NE,AL,RIO LARGO,RODOVIA BR 101 NORTE KM 75,SN,ZONA RURAL,57100000,ETANOL,3.69,VIBRA
NE,BA,VERA CRUZ,RODOVIA BA 001 KM 03 ENTRONCAMENTO MAR GRANDE,SN,KM 03,44470000,GASOLINA,5.99,BRANCA
NE,BA,VERA CRUZ,RODOVIA BA 001 KM 03 ENTRONCAMENTO MAR GRANDE,SN,KM 03,44470000,DIESEL S10,5.99,BRANCA
